price,volume,type
224299.9999,4.52e-06,sell
224311.25146,2.818e-05,sell
224399.9999,4.52e-06,sell
224499.9999,4.52e-06,sell
224500.0,0.005,sell
224567.89,0.00022546,sell
224599.9999,4.52e-06,sell
224600.0,0.0265,sell
224699.9999,4.52e-06,sell
224700.0,0.0225,sell
224783.62237,2.767e-05,sell
224799.9999,4.52e-06,sell
224899.9999,4.52e-06,sell
224900.0,0.03383761,sell
224950.0,0.0002991,sell
224998.0,0.0008,sell
224999.77,0.00186467,sell
224999.99,0.00247537,sell
224999.9999,4.5e-06,sell
225000.0,1.38054082,sell
225008.8,0.000445,sell
225095.2875,8.08e-05,sell
225099.9999,4.5e-06,sell
225199.9999,4.5e-06,sell
225268.06,0.000314,sell
225299.9999,4.5e-06,sell
225333.0,0.00010616,sell
225340.0,0.00306428,sell
225399.9999,4.5e-06,sell
225499.9999,4.5e-06,sell
225500.0,7.267e-05,sell
225599.9999,4.5e-06,sell
225699.9999,4.5e-06,sell
225799.9999,4.5e-06,sell
225800.0,0.021,sell
225856.7,0.00043529,sell
225899.9999,4.48e-06,sell
225945.0,0.08097871,sell
225990.0,0.153,sell
225999.9999,4.48e-06,sell
226000.0,0.06091659,sell
226099.9999,4.48e-06,sell
226100.0,0.00897946,sell
226199.9999,4.48e-06,sell
226299.9999,4.48e-06,sell
226399.9999,4.48e-06,sell
226499.9999,4.48e-06,sell
226599.9999,4.48e-06,sell
226699.9999,4.48e-06,sell
226736.8,0.005513,sell
226799.9999,4.48e-06,sell
226899.9999,4.48e-06,sell
226998.0,0.0008,sell
226999.9999,4.48e-06,sell
227000.0,0.01300752,sell
227099.9999,4.48e-06,sell
227199.9999,4.48e-06,sell
227299.9999,4.48e-06,sell
227399.9999,4.48e-06,sell
227499.9999,4.45e-06,sell
227500.0,0.005,sell
227501.35,0.00010112,sell
227553.0,0.00208,sell
227599.9999,4.45e-06,sell
227699.9999,4.45e-06,sell
227777.77,0.00389373,sell
227799.9999,4.45e-06,sell
227899.9999,4.45e-06,sell
227947.2,0.00010995,sell
227999.9999,4.45e-06,sell
228000.0,0.19942167,sell
228000.08,0.008937,sell
228099.9999,4.45e-06,sell
228199.9999,4.45e-06,sell
228299.9999,4.45e-06,sell
228300.0,0.0283,sell
228399.9999,4.45e-06,sell
228499.9999,4.45e-06,sell
228500.0,0.0002088,sell
228599.9999,4.45e-06,sell
228699.9999,4.45e-06,sell
228799.9999,4.45e-06,sell
228805.0,0.00022796,sell
228888.0,0.00025,sell
228899.9999,4.45e-06,sell
228900.0,0.09682393,sell
228950.0,0.0049,sell
228996.66,0.00025689,sell
228998.0,0.0019,sell
228998.98,0.00024925,sell
228999.9999,4.45e-06,sell
229000.0,0.05974977,sell
229000.0001,9.28e-06,sell
229099.9999,4.45e-06,sell
229100.0,0.00206072,sell
229199.9999,4.45e-06,sell
229214.3854,0.002991,sell
229239.95,0.00353699,sell
229299.9999,4.45e-06,sell
229399.9999,4.45e-06,sell
229450.0,0.0012,sell
229498.98,0.00040161,sell
229499.9999,4.45e-06,sell
229500.0,0.035,sell
229550.0,0.00071805,sell
229599.9999,4.45e-06,sell
229600.0,0.00037597,sell
229699.9999,4.45e-06,sell
229773.44,0.000155,sell
229779.0,0.00022007,sell
229799.9999,4.45e-06,sell
229800.0,0.00244387,sell
229850.0,0.11158,sell
229877.77,0.00282012,sell
229898.9,0.003,sell
229899.9999,4.45e-06,sell
229919.99,2.21e-05,sell
229950.0,0.62435469,sell
229958.66,0.00098765,sell
229987.3171,0.01,sell
229995.66,0.00101489,sell
229998.0,0.27558244,sell
229999.0,0.00723822,sell
229999.9999,0.00014133,sell
230000.0,1.1651121,sell
230034.82156,0.00032254,sell
230058.0,0.00020005,sell
230099.9999,4.4e-06,sell
230100.0,0.14178634,sell
230199.9999,4.4e-06,sell
230215.64,2.277e-05,sell
230299.9999,4.4e-06,sell
230399.9999,4.4e-06,sell
230441.2,5.104e-05,sell
230499.9999,4.39e-06,sell
230500.0,4e-05,sell
230550.0,0.00017123,sell
230599.9999,4.39e-06,sell
230699.9999,4.39e-06,sell
230759.99,0.01,sell
230799.9999,4.39e-06,sell
230899.9999,4.39e-06,sell
230999.99,0.0100475,sell
230999.9999,4.39e-06,sell
231000.0,0.07494743,sell
231099.9999,4.39e-06,sell
231190.0,0.0456,sell
231199.9999,4.39e-06,sell
231299.9999,4.39e-06,sell
231399.9999,4.39e-06,sell
231499.9999,4.39e-06,sell
231500.0,0.01766538,sell
231599.9999,4.39e-06,sell
231697.08,0.00538104,sell
231699.9999,4.39e-06,sell
231799.9999,4.39e-06,sell
231899.9999,4.39e-06,sell
231999.9999,4.39e-06,sell
232000.0,0.10050366,sell
232099.9999,4.39e-06,sell
232198.99,0.00012254,sell
232199.9999,4.39e-06,sell
232200.0,8.608e-05,sell
232222.22,0.0003,sell
232263.23,0.000245,sell
232299.9999,4.39e-06,sell
232399.9999,4.39e-06,sell
232499.9999,4.39e-06,sell
232500.0,0.0216938,sell
232500.99,0.0019,sell
232599.9999,4.35e-06,sell
232699.9999,4.35e-06,sell
232799.9999,4.35e-06,sell
232899.9999,4.35e-06,sell
232999.9999,4.35e-06,sell
233000.0,0.07889576,sell
233009.0,0.01,sell
233058.61,2.184e-05,sell
233099.9999,4.35e-06,sell
233199.9999,4.35e-06,sell
233200.0,1e-05,sell
233299.9999,4.35e-06,sell
233300.0,0.0004014,sell
233333.33,0.0001,sell
233399.9999,4.35e-06,sell
233499.9999,4.35e-06,sell
233542.16,0.00398657,sell
233590.0,0.0472736,sell
233599.9999,4.35e-06,sell
233699.9999,4.35e-06,sell
233789.99,0.00455669,sell
233799.9999,4.35e-06,sell
233899.9999,4.35e-06,sell
233999.9999,4.35e-06,sell
234000.0,0.01754338,sell
234099.9999,4.35e-06,sell
234199.9999,4.32e-06,sell
234299.9999,4.32e-06,sell
234348.88287,2.654e-05,sell
234399.9999,4.32e-06,sell
234401.0,0.00028626,sell
234450.0,0.00475569,sell
234499.9999,4.32e-06,sell
234500.0,0.02197003,sell
234512.47,0.0033,sell
234567.89,0.00083907,sell
234577.51719,0.0001143,sell
234599.9999,4.32e-06,sell
234600.0,0.05,sell
234699.9999,4.32e-06,sell
234799.9999,4.32e-06,sell
234899.9999,4.32e-06,sell
234998.0,0.02325,sell
234999.0,0.00042296,sell
234999.9999,4.32e-06,sell
235000.0,0.34571609,sell
235072.13,0.0055533,sell
235085.0,0.0056,sell
235090.909,5e-05,sell
235099.9999,4.32e-06,sell
235199.9999,4.32e-06,sell
235299.9999,4.32e-06,sell
235399.9999,4.32e-06,sell
235439.01594,0.00017617,sell
235499.9999,4.32e-06,sell
235500.4,0.00026552,sell
235599.9999,4.32e-06,sell
235699.9999,4.32e-06,sell
235743.04219,0.00021998,sell
235799.9999,4.32e-06,sell
235894.48918,0.00014135,sell
235899.9999,4.29e-06,sell
235963.53,0.00021476,sell
235999.0,0.02815896,sell
235999.9999,1.2e-05,sell
236000.0,0.03549665,sell
236099.9999,1.429e-05,sell
236199.9999,1.429e-05,sell
236272.0,0.0059,sell
236299.9999,1.429e-05,sell
236317.0,0.00087171,sell
236399.9999,1.429e-05,sell
236499.9999,1.429e-05,sell
236500.0,0.0004,sell
236599.9999,1.429e-05,sell
236666.02,0.01063,sell
236699.9999,1.429e-05,sell
236700.0,0.00145124,sell
236799.9999,1.429e-05,sell
236899.9999,1.429e-05,sell
236999.9999,1.429e-05,sell
237000.0,0.02202496,sell
237001.17,0.00199537,sell
237099.9999,1.429e-05,sell
237111.26,0.00149666,sell
237156.26,0.00598849,sell
237199.9999,1.429e-05,sell
237200.0,0.00089987,sell
237299.9999,1.429e-05,sell
237399.9999,1.429e-05,sell
237499.9999,1.429e-05,sell
237599.9999,1.429e-05,sell
237699.9999,1.429e-05,sell
237798.09,0.0002655,sell
237799.9999,1.429e-05,sell
237880.0,0.001,sell
237899.9999,1.429e-05,sell
237999.9999,1.429e-05,sell
238000.0,0.04314677,sell
238099.9999,1.425e-05,sell
238100.0,0.00460338,sell
